"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"51","IL","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Yes","Every few days",NA,NA,"Very closely","Strongly favor","Yes","Yes","No","No",NA,NA,"No",NA,"Part-time","Lived with current spouse before married",NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"50","GA","Not too happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"1",NA,"Fairly closely","Strongly oppose","No","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"51","NC","Very happy","Somewhat important","One of the most important things","Very important but not the most","Not important","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","(VOL) Don't know/Refused","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"55","NJ","Very happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"68","SC","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Strongly oppose","Yes","Yes","No","No",NA,NA,"No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"36","VT","Pretty happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","Somewhat important","Very important but not the most","Yes","About once a day",NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No",NA,"No","No",NA,"Full-time","Lived with both current spouse and someone else","No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"26","NY","Not too happy","Very important but not the most","One of the most important things","Not important","One of the most important things","One of the most important things","Not important","Very important but not the most","One of the most important things","No",NA,"1",NA,"Very closely","Favor","Yes","Yes","No","No","No","Yes","Yes","1","Full-time",NA,"No","Own","College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"69","RI","Pretty happy","Somewhat important","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"2",NA,"Very closely","Favor","Yes","Yes","No","No","No","No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"55","NC","Very happy","Very important but not the most","(VOL) Don't know/Refused","One of the most important things","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Less often","1",NA,"Very closely","Strongly oppose","No","No","No","No","Yes","Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"41","KY","Not too happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly oppose","No","No","No",NA,NA,NA,"Yes","4","Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Not covered by health insurance"
"38","IN","Very happy","One of the most important things","Somewhat important","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","No",NA,"50",NA,"Very closely","Strongly favor","Yes","Yes","No","No","Yes","No","Yes","3","Full-time",NA,"No",NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"69","PA","Very happy","Somewhat important","Not important","One of the most important things","One of the most important things","One of the most important things","Not important","One of the most important things","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","Yes",NA,NA,"No","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","(VOL) Don't know/Refused"
"VOL DON'T KNOW/REFUSED","NC","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Somewhat important","Very important but not the most","Somewhat important","No",NA,NA,NA,"(VOL) Don't know/Refused","Strongly oppose","No","No","(VOL) Don't know/Refused","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"18","SC","Pretty happy","Very important but not the most","One of the most important things","Somewhat important","Very important but not the most","Somewhat important","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","No","No","No","No",NA,NA,"Yes","1","Not employed",NA,"No","Own","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"80","PA","Pretty happy","Not important","Very important but not the most","Somewhat important","One of the most important things","Very important but not the most","Not important","Somewhat important","Not important",NA,NA,NA,NA,"Fairly closely","Favor","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"75","SC","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","Very important but not the most","Yes","Once a week",NA,NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No",NA,"Yes","No",NA,"Part-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Not covered by health insurance"
"81","MI","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Fairly closely","Strongly oppose","No","No","Yes",NA,NA,"No","Yes","2","Not employed",NA,NA,NA,"None, or grade 1-8","Covered by health insurance"
"57","NJ","Not too happy","Somewhat important","Very important but not the most","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"6",NA,"Fairly closely","Oppose","Yes","No","No","No","No","No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"34","NY","Not too happy","Very important but not the most","Somewhat important","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","Yes","No",NA,NA,NA,"No",NA,"Part-time",NA,"No",NA,"None, or grade 1-8","Not covered by health insurance"
"49","KY","Pretty happy","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Not important","Not important","One of the most important things","One of the most important things","No",NA,"0",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"42","OH","Pretty happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","One of the most important things","Not important","Somewhat important","Very important but not the most","No",NA,"20",NA,"Very closely","Favor","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"68","PA","Not too happy","Very important but not the most","Very important but not the most","Very important but not the most","(VOL) Don't know/Refused","One of the most important things","Not important","One of the most important things","Somewhat important",NA,NA,NA,NA,"Fairly closely","(VOL) Don't know/Refused","No","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","NJ","Pretty happy","Somewhat important","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Strongly oppose","Yes","No","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"32","PA","Not too happy","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Very closely","Favor","Yes","No","No","No","No","Yes","No",NA,"Full-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"38","NJ","Not too happy","Somewhat important","One of the most important things","Somewhat important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","0",NA,"Very closely","Strongly favor","Yes","No","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"80","NY","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Favor","Yes","Yes","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"63","MS","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Fairly closely","Strongly oppose","No","No","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"50","LA","Not too happy","Not important","Not important","Not important","One of the most important things","Somewhat important","Not important","Somewhat important","One of the most important things","No",NA,"0",NA,"Very closely","Strongly favor","No","Yes","No","No","No","No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"46","CA","Pretty happy","Somewhat important","Somewhat important","Very important but not the most","One of the most important things","Somewhat important","Not important","Somewhat important","Very important but not the most","No",NA,"0",NA,"Fairly closely","Oppose","Yes","Yes","No","No","Yes","Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"86","CA","Pretty happy","Not important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Somewhat important","Very important but not the most",NA,NA,NA,NA,"Fairly closely","Strongly oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"65","WA","Pretty happy","Somewhat important","Somewhat important","Somewhat important","One of the most important things","Somewhat important","Somewhat important","Somewhat important","Very important but not the most","Yes","Less often",NA,NA,"Fairly closely","Favor","Yes","Yes","No","No",NA,"No","No",NA,"Part-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"30","CA","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","Not important","Not important","Not important","One of the most important things","Not important","Yes","Every few days","15",NA,"Very closely","(VOL) Don't know/Refused","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married","No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"32","CA","Pretty happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Not too closely","Strongly oppose","Yes","No","No","No",NA,"No","No",NA,"Full-time",NA,"No",NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"51","GA","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","No",NA,"3",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","Yes","3","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"75","FL","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","Yes","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"81","MI","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","(VOL) Don't know/Refused","(VOL) Don't know/Refused",NA,NA,NA,NA,"(VOL) Don't know/Refused","Oppose","Yes","No","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"58","NY","Pretty happy","Very important but not the most","One of the most important things","Not important","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","Yes","Less often","20",NA,"Fairly closely","Strongly favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"44","OH","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,"5",NA,"Very closely","Favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","OH","(VOL) Don't know/Refused","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Not important","Somewhat important","Somewhat important",NA,NA,NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"75","GA","Very happy","Not important","One of the most important things","(VOL) Don't know/Refused","One of the most important things","Somewhat important","Not important","One of the most important things","Somewhat important","No",NA,NA,NA,"Very closely","Oppose","Yes","Yes","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"57","OH","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Not important","One of the most important things","One of the most important things","No",NA,"0",NA,"Fairly closely","Favor","Yes","Yes","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"55","NH","Not too happy","Not important","Very important but not the most","Not important","Very important but not the most","Somewhat important","Somewhat important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Favor","No","No","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"63","FL","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","Very important but not the most","No",NA,"6",NA,"Fairly closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"58","NY","Not too happy","Not important","Not important","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","Not important","Yes","Every few days",NA,NA,"Very closely","Favor","Yes","No","Yes","No",NA,"Yes","Yes","1","Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"61","ME","Not too happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Fairly closely","Oppose","Yes","No","No","No",NA,NA,"Yes","1","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"34","NC","Pretty happy","Not important","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Not important","One of the most important things","Not important","No",NA,"15",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No","No","No","No",NA,"Part-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"63","VA","Very happy","Somewhat important","One of the most important things","Somewhat important","Very important but not the most","Somewhat important","Not important","One of the most important things","Very important but not the most","No",NA,"0",NA,"Fairly closely","Oppose","Yes","Yes","No","No","No","Yes","No",NA,"Part-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"65","RI","Very happy","Not important","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","No",NA,NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No",NA,"No","No",NA,"Part-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"63","NC","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","Somewhat important","No",NA,NA,NA,"Fairly closely","Favor","Yes","No","Yes","No",NA,"No","No",NA,"Full-time","Lived with someone else",NA,NA,"Some college, no 4-year degree (including associate degree)","Not covered by health insurance"
"63","GA","Not too happy","Not important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Somewhat important","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","(VOL) Don't know/Refused","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"82","MI","Pretty happy","Not important","(VOL) Don't know/Refused","One of the most important things","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Not important","(VOL) Don't know/Refused","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly favor","Yes","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"51","MI","Pretty happy","Somewhat important","Very important but not the most","Not important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"2",NA,"Very closely","Strongly favor","No","No","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"52","ME","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","About once a day","0",NA,"Fairly closely","Oppose","Yes","Yes","Yes","No","Yes","No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"82","OH","Pretty happy","Not important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Somewhat important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","(VOL) Don't know/Refused","No","No","(VOL) Don't know/Refused",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"88","OH","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"48","NY","Very happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Yes","About once a day",NA,NA,"Fairly closely","Favor","No","Yes","Yes","No",NA,"No","Yes","1","Full-time","Lived with both current spouse and someone else",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"71","OH","Pretty happy","Somewhat important","Not important","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly favor","No","No","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"68","PA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Oppose","Yes","No","Yes","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"63","OH","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,"No","No",NA,"Part-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"53","MA","Very happy","Not important","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","Yes","About once a day",NA,NA,"Very closely","Strongly oppose","Yes","No","Yes","No",NA,"No","Yes","2","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"74","MA","Not too happy","Not important","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things","Not important","Very important but not the most","Somewhat important","No",NA,NA,NA,"Very closely","Oppose","Yes","Yes","No","No",NA,NA,"No",NA,"Part-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"49","WV","(VOL) Don't know/Refused","Not important","(VOL) Don't know/Refused","One of the most important things","One of the most important things","Not important","Not important","One of the most important things","Very important but not the most","No",NA,"10",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"82","CT","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Fairly closely","Favor","Yes","Yes","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
