Name,Latitude,Longitude,Info,isvisited
Çırağan Palace,41.04444,29.01667,"<b><a href='https://en.wikipedia.org/wiki/Çırağan_Palace'target='_blank'>Çırağan Palace</a></b><br>Çırağan Palace (Turkish: Çırağan Sarayı), a former Ottoman palace, is now a five-star hotel in the Kempinski Hotels chain. It is located on the European shore of the Bosporus, between Beşiktaş and Ortaköy in Istanbul, Turkey.
",FALSE
Column of Constantine,41.00861,28.97111,"<b><a href='https://en.wikipedia.org/wiki/Column_of_Constantine'target='_blank'>Column of Constantine</a></b><br>The Column of Constantine (Turkish: Çemberlitaş Sütunu, from çemberli 'hooped' and taş 'stone'), also known as the Burnt Stone or the Burnt Pillar,[1] is a Roman monumental column constructed on the orders of the Roman emperor Constantine the Great in 330 AD. It commemorates the declaration of Byzantium (renamed by Constantine as Nova Roma) as the new capital city of the Roman Empire. The column is located on the Street of the Janissaries (Yeniçeriler Caddesi) in the neighborhood (named after the column) of Çemberlitaş, central Istanbul, along the old Road to the Imperial Council (Divan Yolu) between the Hippodrome of Constantinople (now Sultanahmet Square) and the Forum of Theodosius (now Beyazıt Square).
",FALSE
Eyüp Sultan Mosque,41.0479472,28.9337861,"<b><a href='https://en.wikipedia.org/wiki/Eyüp_Sultan_Mosque'target='_blank'>Eyüp Sultan Mosque</a></b><br>The Eyüp Sultan Mosque (Turkish: Eyüp Sultan Camii) is situated in the Eyüp district of Istanbul, outside the city walls near the Golden Horn. The present building dates from the beginning of the 19th century. The mosque complex includes a mausoleum marking the spot where Abu Ayub al-Ansari, the standard-bearer and friend of the Islamic prophet Muhammad, is said to have been buried.
",FALSE
Galata Mawlawi House,41.0279994,28.9750883,"<b><a href='https://en.wikipedia.org/wiki/Mevlevi_Order'target='_blank'>Galata Mawlawi House</a></b><br>The Mawlaw'īyya / Mevlevi Order  (Turkish: Mevlevilik or Mevleviyye Persian: طریقت مولویه‎) is a Sufi order in Konya (modern day Turkey) (capital of the Anatolian Seljuk Sultanate) founded by the followers of Jalal ad-Din Muhammad Balkhi-Rumi, a 13th-century Persian poet, Islamic theologian and Sufi mystic. [1] The Mevlevi are also known as the Whirling Dervishes due to their famous practice of whirling as a form of dhikr (remembrance of God). Dervish is a common term for an initiate of the Sufi path; the whirling is part of the formal Sama ceremony and the participants are properly known as semazen-s.[2]",FALSE
Gul Mosque,41.0266667,28.9565,"<b><a href='https://en.wikipedia.org/wiki/Gül_Mosque'target='_blank'>Gul Mosque</a></b><br>Gül Mosque (Turkish: Gül Camii, meaning: ""The Mosque of the Rose"" in English) is a former Eastern Orthodox church in Istanbul, Turkey, converted into a mosque by the Ottomans.
",FALSE
Hagia Irene,41.00972,28.98111,"<b><a href='https://en.wikipedia.org/wiki/Hagia_Irene'target='_blank'>Hagia Irene</a></b><br>Hagia Irene or Hagia Eirene (Ancient Greek: Ἁγία Εἰρήνη, Byzantine Greek pronunciation: [aˈʝia iˈrini], ""Holy Peace"", Turkish: Aya İrini), sometimes known also as Saint Irene, is a Greek Eastern Orthodox church located in the outer courtyard of Topkapı Palace in Istanbul, Turkey. It is one of the few churches in Istanbul that has not been converted into a mosque. The Hagia Irene today operates as a museum and concert hall.
",FALSE
Hagia Triada Greek Orthodox Church,41.0355,28.9842,"<b><a href='https://en.wikipedia.org/wiki/Hagia_Triada_Greek_Orthodox_Church,_ Istanbul'target='_blank'>Hagia Triada Greek Orthodox Church</a></b><br>The Hagia Triada (""Holy Trinity""; Greek: Ιερός Ναός Αγίας Τριάδος, translit. Ierós Naós Agías Triádos; Turkish: Aya Triada Rum Ortodoks Kilisesi) is a Greek Orthodox church in Istanbul, Turkey. The building was erected in 1880 and is considered the largest Greek Orthodox shrine in Istanbul today.[1] It is still in use by the Greek community of Istanbul.[2][3] It has about 150 parishioners.[4] The church is located in the district of Beyoğlu, in the neighborhood of Katip Çelebi, on Meşelik sokak, near Taksim Square.[5]",FALSE
İstiklal Avenue,41.0340037,28.97848369999999,"<b><a href='https://en.wikipedia.org/wiki/İstiklal_Avenue'target='_blank'>İstiklal Avenue</a></b><br>İstiklal Avenue or Istiklal Street (Turkish: İstiklal Caddesi; Greek: Μεγάλη Οδός του Πέραν, translit. Megali Odos tu Peran; French: Grande Rue de Péra; English: ""Independence Avenue"") is one of the most famous avenues in Istanbul, Turkey, visited by nearly 3 million people in a single day over the course of weekends. Located in the historic Beyoğlu (Pera) district, it is an elegant pedestrian street, 1.4 kilometers long, which houses boutiques, music stores, bookstores, art galleries, cinemas, theatres, libraries, cafés, pubs, nightclubs with live music, historical patisseries, chocolateries and restaurants.
",FALSE
Mihrimah Sultan Mosque Uskudar,41.02667,29.01611,"<b><a href='https://en.wikipedia.org/wiki/Mihrimah_Sultan_Mosque_(Üsküdar)'target='_blank'>Mihrimah Sultan Mosque Uskudar</a></b><br>The Mihrimah Sultan Mosque (Iskele Mosque, Jetty Mosque, Üsküdar Quay Mosque, Turkish: Mihrimah Sultan Camii, İskele Camii) is a 16th century Ottoman mosque located in the historic center of the Üsküdar district of Istanbul, Turkey. The Mihrimah Sultan Mosque is one of Üsküdar's best-known landmarks and takes its nicknames from the ferry landing near which it stands.
",FALSE
Mimar Sinan Fine Arts University,41.03,28.9892,"<b><a href='https://en.wikipedia.org/wiki/Mimar_Sinan_Fine_Arts_University'target='_blank'>Mimar Sinan Fine Arts University</a></b><br>Mimar Sinan Fine Arts University (Turkish: Mimar Sinan Güzel Sanatlar Üniversitesi; abbreviated MSGSÜ) is a Turkish state university dedicated to the higher education of fine arts. It is located in the Fındıklı neighborhood of İstanbul, Turkey. Mimar Sinan Fine Arts High School in İstanbul and Ankara is not an unit of Mimar Sinan Fine Arts University.[1][2]",FALSE
Monastery of Stoudios,40.99611,28.92861,"<b><a href='https://en.wikipedia.org/wiki/Monastery_of_Stoudios'target='_blank'>Monastery of Stoudios</a></b><br>The Monastery of Stoudios, more fully Monastery of Saint John the Forerunner ""at Stoudios"" (Greek Μονή του Αγίου Ιωάννη του Προδρόμου «εν τοις Στουδίου»
Monē tou Hagiou Iōannē tou Prodromou ""en tois Stoudiou""), often shortened to Stoudios, Studion, or Stoudion, (Latin: Studium), was historically the most important monastery of Constantinople (modern-day Istanbul), the capital of the Byzantine Empire. The residents of the monastery were referred to as Stoudites (or Studites).  Although the monastery has been derelict for half a millennium, the laws and customs of the Stoudion were taken as models by the monks of Mount Athos and of many other monasteries of the Orthodox world; even today they have influence.
",FALSE
Ortaköy Mosque,41.04694,29.02694,"<b><a href='https://en.wikipedia.org/wiki/Ortaköy_Mosque'target='_blank'>Ortaköy Mosque</a></b><br>Ortaköy Mosque (Turkish: Ortaköy Camii), officially the Büyük Mecidiye Camii (Grand Imperial Mosque of Sultan Abdülmecid) in Beşiktaş, Istanbul, Turkey, is situated at the waterside of the Ortaköy pier square, one of the most popular locations on the Bosphorus.
",FALSE
Palace of the Porphyrogenitus,41.03389,28.94028,"<b><a href='https://en.wikipedia.org/wiki/Palace_of_the_Porphyrogenitus'target='_blank'>Palace of the Porphyrogenitus</a></b><br>The Palace of the Porphyrogenitus (Greek: το παλάτι τοῦ Πορφυρογεννήτου), known in Turkish as the Tekfur Sarayı (""Palace of the Sovereign""),[1] is a late 13th-century Byzantine palace in the north-western part of the old city of Constantinople (present-day Istanbul, Turkey). An annex of the greater palace complex of Blachernae, it is the best preserved of the three Byzantine palaces to survive in the city (together with the ruins of the Boukoleon Palace; and the ruins of the Great Palace of Constantinople with its surviving substructures, retrieved mosaics and standing Magnaura section), and one of the few relatively intact examples of late Byzantine secular architecture in the world.
",FALSE
Pertevniyal Valide Sultan Mosque,41.01,28.95306,"<b><a href='https://en.wikipedia.org/wiki/Pertevniyal_Valide_Sultan_Mosque'target='_blank'>Pertevniyal Valide Sultan Mosque</a></b><br>The Pertevniyal Valide Sultan Mosque, also known as the Aksaray Valide Mosque (Turkish: Pertevniyal Valide Sultan Camii, Aksaray Valide Sultan Camii), is an Ottoman imperial mosque in Istanbul, Turkey. It is located at the intersection of Ordu Street and Atatürk Boulevard in the Aksaray neighborhood. It is located next to Pertevniyal High School (Turkish: Pertevniyal Lisesi) which was also built by the order of Sultana Pertevniyal in 1872.
",FALSE
Prison of Anemas,41.03848,28.94083,"<b><a href='https://en.wikipedia.org/wiki/Prison_of_Anemas'target='_blank'>Prison of Anemas</a></b><br>The Prison of Anemas (Turkish: Anemas Zindanları) is a large Byzantine building attached to the walls of the city of Constantinople (modern Istanbul, Turkey). It is traditionally identified with the prisons named after Michael Anemas, a Byzantine general who rose in unsuccessful revolt against Emperor Alexios I Komnenos (r. 1081–1118) and was the first person to be imprisoned there. The prison features prominently in the last centuries of the Byzantine Empire, when four Byzantine emperors were imprisoned there.
",FALSE
Saint Gregory the Illuminator Church of Galata,41.0257,28.9785,"<b><a href='https://en.wikipedia.org/wiki/Saint_Gregory_the_Illuminator_Church_of_ Galata'target='_blank'>Saint Gregory the Illuminator Church of Galata</a></b><br>The Saint Gregory the Illuminator Church of Galata (Western Armenian: Ղալաթայի Սուրբ Գրիգոր Լուսաւորիչ եկեղեցի, Ghalat’ayi Surp Krikor Lusavorich yegeghetsi; Turkish: Surp Krikor Lusavoriç Ermeni Kilisesi) is the oldest extant Armenian Apostolic church in Istanbul. It was built in the late 14th century, in the Genoan period, shortly before the fall of Constantinople to the Ottomans. Located in Galata (Karaköy), it is the city's only church built in the traditional style of the Armenian church architecture—namely with a dome with a conical roof.[2][3]",FALSE
Şehzade Mosque,41.013806,28.957167,"<b><a href='https://en.wikipedia.org/wiki/Şehzade_Mosque'target='_blank'>Şehzade Mosque</a></b><br>The Şehzade Mosque (Turkish: Şehzade Camii, from the original Persian شاهزاده Šāhzādeh, meaning ""prince"") is a 16th-century Ottoman imperial mosque located in the district of Fatih, on the third hill of Istanbul, Turkey. It was commissioned by Suleiman the Magnificent as a memorial to his son Şehzade Mehmed who died in 1543. It is sometimes referred to as the ""Prince's Mosque"" in English.[1] In a June 2016 attack, the windows of the mosque were shattered.
",FALSE
Selimiye Barracks,41.00806,29.01583,"<b><a href='https://en.wikipedia.org/wiki/Selimiye_Barracks'target='_blank'>Selimiye Barracks</a></b><br>Selimiye Barracks (Turkish: Selimiye Kışlası), also known as Scutari Barracks, is a Turkish Army barracks located in the Üsküdar district on the Asian part of Istanbul, Turkey. It was built first in 1800 by Sultan Selim III for the soldiers of the newly established  Nizam-ı Cedid (literally ""New Order"") in frame of the Ottoman military reform efforts.[1]",FALSE
Taksim Square,41.03694,28.98583,"<b><a href='https://en.wikipedia.org/wiki/Taksim_Square'target='_blank'>Taksim Square</a></b><br>Taksim Square (Turkish: Taksim Meydanı, IPA: [ˈtaksim ˈmejdanɯ]), situated in Beyoğlu in the European part of Istanbul, Turkey, is a major tourist and leisure district famed for its restaurants, shops, and hotels. It is considered the heart of modern Istanbul, with the central station of the Istanbul Metro network. Taksim Square is also the location of the Republic Monument (Turkish: Cumhuriyet Anıtı) which was crafted by Pietro Canonica and inaugurated in 1928. The monument commemorates the 5th anniversary of the foundation of the Republic of Turkey in 1923, following the Turkish War of Independence.
",FALSE
Yoros Castle,41.179,29.094,"<b><a href='https://en.wikipedia.org/wiki/Yoros_Castle'target='_blank'>Yoros Castle</a></b><br>Yoros Castle (Turkish: Yoros kalesi) is a Byzantine ruined castle at the confluence of the Bosphorus and the Black Sea, to the north of Joshua's Hill, in Istanbul, Turkey. It is also commonly referred to as the Genoese Castle, due to Genoa’s possession of it in the mid-15th century.
",FALSE
Aydos,40.93167,29.25472,"<b><a href='https://en.wikipedia.org/wiki/Aydos_Hill'target='_blank'>Aydos</a></b><br>Aydos Hill (Turkish: Aydos Tepesi) is a hill in the north of Kartal district of Istanbul, Turkey. Its peak at 537 m (1,762 ft) above sea level is the highest point of Istanbul. The hill is surrounded by woods.
",TRUE
Bebek Istanbul,41.07556,29.04417,"<b><a href='https://en.wikipedia.org/wiki/Bebek,_Beşiktaş'target='_blank'>Bebek Istanbul</a></b><br>Bebek (known in Greek as Χηλαί, Chelai) is a historic Istanbul neighbourhood that falls within the boundaries and administration of the Beşiktaş district. It is located on Bebek Bay along the European shores of the Bosphorus strait and is surrounded by similarly affluent neighbourhoods such as Arnavutköy, Etiler and Rumeli Hisarı.
",TRUE
Beylerbeyi Palace,41.043,29.04,"<b><a href='https://en.wikipedia.org/wiki/Beylerbeyi_Palace'target='_blank'>Beylerbeyi Palace</a></b><br>The Beylerbeyi Palace (Turkish: Beylerbeyi Sarayı), Beylerbeyi meaning ""Lord of Lords"", is located in the Beylerbeyi neighbourhood of Üsküdar district in Istanbul, Turkey  at the Asian side of the Bosphorus. An Imperial Ottoman summer residence built in the 1860s, it is now situated immediately north of the 1973 Bosphorus Bridge.
",TRUE
Bodrum Mosque,41.00861,28.95556,"<b><a href='https://en.wikipedia.org/wiki/Bodrum_Mosque'target='_blank'>Bodrum Mosque</a></b><br>Bodrum Mosque (Turkish: Bodrum Camii, or Mesih Paşa Camii named after its converter) in Istanbul, Turkey, is a former Eastern Orthodox church converted into a mosque by the Ottomans.[1] The church was known under the Greek name of Myrelaion (Greek: Eκκλησία του Μυρελαίου).[2]",TRUE
Bogazici University,41.083556,29.050598,"<b><a href='https://en.wikipedia.org/wiki/Boğaziçi_University'target='_blank'>Bogazici University</a></b><br>Boğaziçi University (also known as Bosphorus University, Turkish: Boğaziçi Üniversitesi,  ""Boğaziçi"" literally meaning Bosphorus in Turkish) is a major research university located on the European side of the Bosphorus strait in Istanbul, Turkey. It has four faculties and two schools offering undergraduate degrees, and six institutes offering graduate degrees. The language of instruction is English.
",TRUE
Bulgarian St Stephen Church,41.03194,28.94972,"<b><a href='https://en.wikipedia.org/wiki/Bulgarian_St._Stephen_Church'target='_blank'>Bulgarian St Stephen Church</a></b><br>Bulgarian St Stephen Church (Bulgarian: Църква „Свети Стефан“; Turkish: Sveti Stefan Kilisesi), also known as the Bulgarian Iron Church, is a Bulgarian Orthodox church in Balat, Istanbul, Turkey. It is famous for being made of prefabricated cast iron elements in the neo-Gothic style. The church belongs to the Bulgarian minority in the city. The Bulgarians of the Ottoman Empire used to pray at the churches of the Phanar Orthodox Patriarchy, but nationalistic movements allowed Bulgarians a national church in the 19th century, the Bulgarian Exarchate.
",TRUE
Burgazada,40.879905,29.061756,"<b><a href='https://en.wikipedia.org/wiki/Burgazada'target='_blank'>Burgazada</a></b><br>Burgazada, Burgaz Adası, or shortly Burgaz (Greek: Αντιγόνη, Antigoni) is the third largest of the Princes' Islands in the Sea of Marmara, near Istanbul, Turkey.
",TRUE
BuyukAda,40.85778,29.12,"<b><a href='https://en.wikipedia.org/wiki/Büyükada'target='_blank'>BuyukAda</a></b><br>Büyükada (Greek: Πρίγκηπος or Πρίγκιπος, rendered Prinkipos or Prinkipo) is the largest of the nine so-called Princes' Islands in the Sea of Marmara, near Istanbul, with an area of about 2 square miles (5 square kilometres). It is officially a neighbourhood in the Adalar (Islands) district of Istanbul Province, Turkey.
",TRUE
Cengelkoy,41.04913,29.06201,"<b><a href='https://en.wikipedia.org/wiki/Çengelköy'target='_blank'>Cengelkoy</a></b><br>Çengelköy is a neighborhood in the Üsküdar district on the Asian shore of the Bosphorus, in Istanbul, Turkey, between the neighborhoods of  Beylerbeyi and Kuleli. It is mainly a residential district. Many mansions were built there in the Ottoman period. 
",TRUE
Chora Church,41.03111,28.93917,"<b><a href='https://en.wikipedia.org/wiki/Chora_Church'target='_blank'>Chora Church</a></b><br>The Church of the Holy Saviour in Chora (Greek: Ἐκκλησία τοῦ Ἁγίου Σωτῆρος ἐν τῇ Χώρᾳ, Turkish: Kariye Müzesi, Kariye Camii, Kariye Kilisesi) is a medieval Byzantine Greek Orthodox church preserved as the Chora Museum in the Edirnekapı neighborhood of Istanbul.[1] The neighborhood is situated in the western part of the municipality (belediye) of the Fatih district. In the 16th century, during the Ottoman era, the church was converted into a mosque; it became  a museum in 1948. The interior of the building is covered with some of the oldest and finest surviving  Byzantine mosaics and frescoes; they were uncovered and restored after the building was secularized and turned into a museum.
",TRUE
Church Mosque of Vefa,41.01639,28.96028,"<b><a href='https://en.wikipedia.org/wiki/Church-Mosque_of_Vefa'target='_blank'>Church Mosque of Vefa</a></b><br>Church-Mosque of Vefa  (Turkish: Vefa Kilise Camii, meaning ""the church mosque of Vefa"", to distinguish it from the other kilise camiler of Istanbul: also known as Molla Gürani Camii after the name of his founder) is a former Eastern Orthodox church converted into a mosque by the Ottomans in Istanbul. The church was possibly dedicated to Hagios Theodoros (St. Theodore,[1][2] in Greek: Ἄγιος Θεοδόρος ἑν τὰ Καρβουνάρια), but this dedication is far from certain.[3] The complex represents one of the most important examples of Comnenian and Palaiologan architecture of Constantinople.[4]",TRUE
Crimea Memorial Church,41.0277,28.9771,"<b><a href='https://en.wikipedia.org/wiki/Crimea_Memorial_Church'target='_blank'>Crimea Memorial Church</a></b><br>The Crimea Memorial Church, also known as Christ Church, is a Church of England church in the Beyoglu - Taksim district of Istanbul, Turkey.[1]",TRUE
Dolmabahce Palace,41.03944,29.00167,"<b><a href='https://en.wikipedia.org/wiki/Dolmabahçe_Palace'target='_blank'>Dolmabahce Palace</a></b><br>Dolmabahçe Palace (Turkish: Dolmabahçe Sarayı, IPA: [doɫmabahˈtʃe saɾaˈjɯ]) located in the Beşiktaş district of Istanbul, Turkey, on the European coast of the Bosphorus, served as the main administrative center of the Ottoman Empire from 1856 to 1887 and 1909 to 1922 (Yıldız Palace was used in the interim).
",TRUE
Eski Imaret Mosque,41.02167,28.955,"<b><a href='https://en.wikipedia.org/wiki/Eski_Imaret_Mosque'target='_blank'>Eski Imaret Mosque</a></b><br>Eski Imaret Mosque (Turkish: Eski Imaret Camii) is a former Eastern Orthodox church converted into a mosque by the Ottomans. The church has traditionally been identified with that belonging to the Monastery of Christ Pantepoptes (Greek: Μονή του Χριστού Παντεπόπτη), meaning ""Christ the all-seeing"". It is the only documented 11th-century church in Istanbul which survives intact, and represents a key monument of middle Byzantine architecture. Despite that, the building remains one among the least studied of the city.
",TRUE
Eyup,41.03889,28.93472,"<b><a href='https://en.wikipedia.org/wiki/Eyüp'target='_blank'>Eyup</a></b><br>Eyüp (pronounced [ˈejyp]) or Eyüpsultan is a municipality (belediye) and district of the city of Istanbul, Turkey. The district extends from the Golden Horn all the way to the shore of the Black Sea. Eyüp is also the name of a prominent neighborhood and former village in the district, located at the confluence of the Kağıthane and Alibey streams at the head of the Golden Horn. The Eyüp neighborhood is a historically important area, especially for Turkey's Muslims. It became district centre in 1936, after some parts of Fatih, Çatalca and Sarıyer was joined together; later for some time it also included Gaziosmanpaşa and Bayrampaşa districts. Its present boundaries were established after the borough of Yayla was given to Sultangazi in 2009. Its neighbours are Sarıyer in the east, Kağıthane and Beyoğlu in the southeast, Gaziosmanpaşa, Fatih and Sultangazi in the south, Başakşehir in the southwest and Arnavutköy in the west.
",TRUE
Fatih Mosque,41.01972,28.94972,"<b><a href='https://en.wikipedia.org/wiki/Fatih_Mosque,_Istanbul'target='_blank'>Fatih Mosque</a></b><br>The Fatih Mosque (Turkish: Fatih Camii, ""Conqueror's Mosque"" in English) is an Ottoman mosque in the Fatih district of Istanbul, Turkey. The original mosque on the site was constructed between 1463 and 1470 on the site of the Church of the Holy Apostles. It was seriously damaged in the 1766 earthquake and was rebuilt in 1771 to a different design. It is one of the largest examples of Turkish-Islamic architecture in Istanbul and represents an important stage in the development of classic Turkish architecture. It is named after Ottoman sultan Mehmed the Conqueror, known in Turkish as Fatih Sultan Mehmed, the Ottoman sultan who conquered Constantinople in 1453.
",TRUE
Fener,41.0288889,28.95194,"<b><a href='https://en.wikipedia.org/wiki/Fener'target='_blank'>Fener</a></b><br>Fener (Turkish pronunciation: [feˈnæɾ]) is a quarter midway up the Golden Horn within the district of Fatih in Istanbul, Turkey. The streets in the area are full of historic wooden mansions, churches, and synagogues dating from the Byzantine and Ottoman eras. The wooden mansions between the main axis and the shore were often used for importing wood from Pontus or the Black Sea area. Their picturesque facades were largely destroyed due to street widening requirements in the 1930s and later.The area's name is a Turkish transliteration of the original Greek φανάριον (a lighting lantern, a streetlight, a lightpost with a light lantern)[1] It was so called for a column topped with a lantern which stood there in the Byzantine period – used as a public light or marine and/or other purpose locator/beacon.
",TRUE
Galata Bridge,41.02,28.97306,"<b><a href='https://en.wikipedia.org/wiki/Galata_Bridge'target='_blank'>Galata Bridge</a></b><br>The Galata Bridge (Turkish: Galata Köprüsü, Turkish pronunciation: [ˈɡaɫata cøpɾyˈsy]) is a bridge that spans the Golden Horn in Istanbul, Turkey. From the end of the 19th century in particular, the bridge has featured in Turkish literature, theater, poetry and novels.
",TRUE
Galata Tower,41.0256556,28.9741556,"<b><a href='https://en.wikipedia.org/wiki/Galata_Tower'target='_blank'>Galata Tower</a></b><br>The Galata Tower (Galata Kulesi in Turkish) — called Christea Turris (the Tower of Christ in Latin) by the Genoese — is a medieval stone tower in the Galata/Karaköy quarter of Istanbul, Turkey, just to the north of the Golden Horn's junction with the Bosphorus. It is a high, cone-capped cylinder that dominates the skyline and offers a panoramic vista of Istanbul's historic peninsula and its environs.
",TRUE
Grand Bazaar,41.0105806,28.9679333,"<b><a href='https://en.wikipedia.org/wiki/Grand_Bazaar,_Istanbul'target='_blank'>Grand Bazaar</a></b><br>The Grand Bazaar (Turkish: Kapalıçarşı, meaning ‘Covered Market’; also Büyük Çarşı, meaning ‘Grand Market’[1]) in Istanbul is one of the largest and oldest covered markets in the world, with 61 covered streets and over 4,000 shops[2][3]  which attract between 250,000 and 400,000 visitors daily.[4] In 2014, it was listed No.1 among the world's most-visited tourist attractions with 91,250,000 annual visitors.[5] The Grand Bazar at Istanbul is often regarded as one of the first shopping malls of the world.
",TRUE
Gulhane Park,41.0127,28.9805,"<b><a href='https://en.wikipedia.org/wiki/Gülhane_Park'target='_blank'>Gulhane Park</a></b><br>Gülhane Park (Turkish: Gülhane Parkı, ""Rosehouse Park""; from Persian: گلخانه‬ Gulkhāna, ""house of flowers"") is a historical urban park in the Eminönü district of Istanbul, Turkey; it is adjacent to and on the grounds of the Topkapı Palace. The south entrance of the park sports one of the larger gates of the palace.   It is the oldest and one of the most expansive public parks in Istanbul.
",TRUE
